escola,lat,lon
Sesi,-20.3023082,-50.2385949
Cafaro,-20.293245749999997,-50.24951203549015
Ferrari,-20.2835779,-50.234843
Barozi,-20.276681699999997,-50.23019401656074
Barbosa Lima,-20.26856085,-50.24388522694228
JAP,-20.283452949999997,-50.252797636224045
Belucio,-20.3059634,-50.2406714
EELAS,-20.278453,-50.24640449442418
Tanuri,-20.2677529,-50.2549866
Brasitânia,-20.13750015,-50.31950827237557
Saturnino,-20.280870399999998,-50.25573175783805
Coronel,-20.278793999999998,-50.247616510887255
Andreo,-20.2819167,-50.25745872348726
Koei Arakaki,-20.269411,-50.26
Pedro Malavazzi,-20.281775,-50.257071
Ivonete,-20.2902725,-50.23900072323046
ETEC,-20.28088005,-50.24181266696134
